"","info.Lon","info.Lat","info.ECO_NAME","info.BIOME","info.ECO_ID","info.max.lat","info.min.lat","info.max.lon","info.min.lon","info.species.count","info.observation.count.tot","info.Kier_richness","info.Kier_area","info.observation.count.tot.1","info.observation.count.tot.2","info.observation.count.LeArea","info.observation.count.SSD","info.observation.count.SLA","info.observation.count.LeC","info.observation.count.LeN","info.observation.count.LeP","info.observation.count.PlantHeight","info.observation.count.SeedMass","info.observation.count.SeLen","info.observation.count.LeNArea","info.observation.count.LeNP","info.observation.count.Led15N","info.observation.count.SenbU","info.observation.count.LeFMass","info.observation.count.ConduitDens","info.observation.count.VesLen","info.observation.count.DispULen","info.observation.count.tot.3","trait.LeArea","trait.SSD","trait.SLA","trait.LeC","trait.LeN","trait.LeP","trait.PlantHeight","trait.SeedMass","trait.SeLen","trait.LeNArea","trait.LeNP","trait.Led15N","trait.SenbU","trait.LeFMass","trait.ConduitDens","trait.DispULen","trait.VesLen","soil","climate.AnnualMeanTemperature.nc","climate.MaxTemperatureofWarmestMonth.nc","climate.MinTemperatureofColdestMonth.nc","climate.TemperatureSeasonality.nc","climate.MeanDiurnalRange.nc","climate.AnnualPrecipitation.nc","climate.PrecipitationofWettestMonth.nc","climate.PrecipitationofDriestMonth.nc","climate.PrecipitationSeasonality.nc","climate.vapr.mean.nc","climate.vapr.max.nc","climate.vapr.min.nc","climate.vapr.sd.nc","climate.srad.mean.nc","climate.srad.max.nc","climate.srad.min.nc","climate.srad.sd.nc","climate.wind.mean.nc","climate.wind.max.nc","climate.wind.min.nc","climate.wind.sd.nc"
"80",-122.11,44.1666665,"Central and Southern Cascades forests",5,50508,47.316666666,42.95,-121.583333333,-122.633333333,29,134,1296,44950,134,134,22,4,64,0,5,5,26,0,0,2,3,0,0,0,0,0,0,134,867.7707,0.4833,15.9773,466.0492,15.5051,1.7631,40,8.5343,4.9994,1.1264,10.3347,1.3133,237.5097,0.2457,190.98995,5.2616,380.0798,44.1666665,6.24374998236696,17.5,-5.20000004768372,528.957491242251,9.7833333114783,1630,266.5,26,65.2428698585818,0.602500021457672,0.870000004768372,0.41499999165535,0.157380923628807,13907.125,24862,4126.5,7124.10278320312,3.50833320617676,3.59999990463257,3.20000004768372,0.138192668557167
"82",-86.95,41.7,"Central forest-grasslands transition",8,50804,41.7,38.63,-86.95,-95.4,628,641,2124,407235,641,641,6,0,11,0,4,0,517,622,0,4,0,0,0,0,0,0,0,641,709.3602,0.4227,18.6997,446.3396,19.8494,1.84685,0.8,0.854,2.378,1.14155,10.7951,1.63795,316.6713,0.14405,74.7887,2.6587,429.10905,41.7,9.56249985347191,26.7999992370605,-10.8999996185303,985.684162484252,10.374999816219,970,106,41,23.6428054760594,1.02583336830139,1.98000001907349,0.360000014305115,0.577328026294708,13216.5830078125,21862,4318,6187.99267578125,4.15833330154419,4.90000009536743,3,0.660124182701111
"84",-47.51,-22,"Cerrado",7,60704,-15.15,-23.48,-44.833333,-48.75,208,910,6500,1910038,910,910,56,62,70,0,604,214,188,15,0,31,240,154,0,0,0,0,0,910,2819.52175,0.57125,11.7116,468.92415,17.8709,0.9225857,5.1427,28.736475,4.9238,1.70155,18.94625,1.982375,128.5171,0.90955,15.839775,5.3065,517.0939,-22,20.4666665792465,29,11.1000003814697,222.832994570309,11.2749995390574,1428,248,20,74.5536742621752,1.8445833325386,2.28749996423721,1.27999997138977,0.347861528396606,15482.0830078125,17712,11942,1566.44860839844,1.83333337306976,2.29999995231628,1.5,0.264575123786926
"85",128.1,42.2166666665,"Changbai Mountains mixed forests",4,80414,42.383333333,42,128.3,128,61,93,2500,93438,93,93,11,0,13,0,61,79,3,0,0,11,50,0,0,0,0,0,0,93,978.11545,0.50505,16.5138,476.0372,20.9,1.7150833335,6.7594,3.3001,3.6421,1.3619,12.74,1.0697,322.33715,0.2321,133.4806,5.1611,366.782,42.2166666665,1.2749999538064,24.5,-23.3999996185303,1251.53269938788,12.233333430253,733,169,5.5,97.1589391065328,0.626666665077209,1.5900000333786,0.100000001490116,0.521045982837677,13104,19122,6160.5,4275.1494140625,2.18333339691162,3,1.60000002384186,0.423936575651169
"86",119.443083333,30.289116666,"Changjiang Plain evergreen forests",4,80415,32.066666666,28.6,121.7,113,123,253,3000,437582,253,253,46,0,143,56,181,156,34,0,0,100,50,0,0,0,0,0,0,253,2162.1484,0.5459,16.36034967,452.0044,16.43165,1.4161,8.1934,35.306,5.699,1.0232,14.3052,1.7522,36.2152,0.4921,39.15045,6.8264,538.2047,30.289116666,15.8249999110897,32.4000015258789,-0.800000011920929,872.351708841291,8.05833318829536,1236,198,37,50.0128344540865,1.54999995231628,3.01999998092651,0.579999983310699,0.852993071079254,14704.75,20649,9052,4081.16943359375,2.58333325386047,3.09999990463257,2.20000004768372,0.286744147539139
"87",100.916667,14,"Chao Phraya freshwater swamp forests",1,40107,14.5,13.8166667,101.716667,100.05,46,74,1100,38858,74,74,0,0,0,0,72,0,0,0,0,0,0,68,0,0,0,0,0,74,1158.6808,0.6064,11.4301,467.007825,20.325,1.40885,8.62695,80.484375,6.310175,1.9424,15.2346,4.7,64.46785,0.75635,7.60725,6.857025,330.206825,14,27.8208332856496,34.4000015258789,20,160.460396560189,8.89166641235352,1256,246,5,82.5278161880619,2.71166658401489,2.99500000476837,2.07999992370605,0.327498942613602,18554.853515625,21458,16757,1441.40466308594,1.16666662693024,1.39999997615814,0.800000011920929,0.189113423228264
"91",-61.716667,-15.783333,"Chiquitano dry forests",2,60212,-14.38556,-16.624444,-60.74778,-63,168,510,1200,229767,510,510,117,300,422,177,253,260,134,0,0,256,81,0,0,0,0,0,0,510,3935.8042,0.569028553,14.741802245,474.8421675,24.71155,1.2841,15.257025,75.46,5.963,1.797325645,19.58155,2.60575,117.8346,1.3878,12.47775,6.97065,478.708325,-15.783333,25.5187498132388,32.7000007629395,16.7499995231628,155.248227107635,10.6083334287008,1144,187.5,17,62.3716929795458,2.42499995231628,2.8199999332428,1.87999999523163,0.349781140685081,14928.4165039062,16808.25,13102.5,1199.78833007812,2.95000004768372,3.5,2.40000009536743,0.286744177341461
"92",-77.004138888,3.971861111,"Chocó-Darién moist forests",1,60115,9.1,3.971861111,-77.004138888,-78.3,103,111,9000,73305,111,111,0,0,33,0,33,0,0,72,66,33,0,0,0,0,0,0,0,111,6266.0983,0.5713,10.9133,481.0857,19.9345545,0.9351,17.4962,847.1512998,13.4665,1.8351,19.4382,2.53855,153.8535,1.6813,11.4746,11.1916,535.6645,3.971861111,26.2208333015442,30.7000007629395,22,25.88950394298,7.64166673024495,6326,725,277,28.5388428840274,2.87750005722046,2.94000005722046,2.83999991416931,0.0289036501199007,15839.5,17393,14658,947.662841796875,1.39999997615814,1.70000004768372,1.29999995231628,0.108012370765209
"93",-107.709851,38.655337,"Colorado Plateau shrublands",13,51304,39.27579,34,-106,-113,82,528,2556,326501,528,528,347,14,216,9,90,33,20,1,0,31,31,31,0,0,0,0,0,528,243.5,0.497025,11.83238268,446.487125,20.370675,1.75805,0.80475,3.5299,3.4218,1.806225,12.464675,1.854525,389.87615,0.09255,67.903975,4.088425,320.3338,38.655337,7.3666666628172,27.3500003814697,-13.3999996185303,966.17882665312,17.800000047156,327.5,46,18,23.9066167081215,0.537500023841858,0.959999978542328,0.28999999165535,0.219158753752708,17172.416015625,27154,7684,6305.03686523438,2.97499990463257,3.59999990463257,2.40000009536743,0.46210566163063
"94",-106.979456,39.0143,"Colorado Rockies forests",5,50511,41.38,37.57136,-105.37,-108.26012,262,2424,1626,132841,2424,2424,1777,0,1036,46,384,2,120,1,0,55,2,103,0,0,0,0,0,2424,341.176825,0.3956,15.86805,445.5565,21.739375,1.927475,0.256675,0.688425,2.363375,1.4682520765,10.892,1.3887,312.13255,0.09685,96.84745,2.803025,413.515625,39.0143,0.32916659489274,16.7000007629395,-16.8999996185303,793.428858169016,13.1083332337439,627,66,36,17.8669042236505,0.333333343267441,0.660000026226044,0.170000001788139,0.179449394345284,15897.5830078125,25203,7326,6050.40625,4.62083339691162,5.25,3.70000004768372,0.481534034013748
"96",-83.985,9.7175,"Costa Rican seasonal moist forests",1,60119,10.788,9.689722,-83.943333,-85.349,58,405,3300,10900,405,405,33,0,4,0,6,0,38,0,0,0,0,2,0,0,0,0,0,405,2080.66165,0.510525,13.068675,460.77135,17.1043,1.1214,10.1403,3.5998,3.2458,1.397075,15.7918,1.5017,459.4228,1.0001,31.70345,3.994475,675.034,9.7175,15.866666674614,22.1000003814697,9.69999980926514,61.2789778201399,10.0750000476837,2431,477,20,75.6129637727278,1.55374997854233,1.64500004053116,1.41500002145767,0.0821566730737686,19366.791015625,21779,17229,1327.94036865234,3.67916667461395,5,2.64999997615814,0.802163809537888
"99",34,35,"Cyprus Mediterranean forests",12,81206,35,35,34,34,154,156,1500,9273,156,156,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,156,287.2416,0.4661,16.4203,448.1449,22.3676,1.7094,0.4,2.1,2.54495,1.52835,13.1462,1.6849,308.6037,0.118,48.20745,2.97445,400.33065,35,19.1833331783613,32.7999992370605,6,619.076767627302,10.1666664679845,459,122,0,101.394901348616,1.4466667175293,2.1800000667572,0.930000007152557,0.433499962091446,18692.833984375,28345,8759,7035.61669921875,3.01666665077209,3.70000004768372,2.40000009536743,0.435571163892746
"102",106.1825,50.079722222,"Daurian forest steppe",8,80804,50.079722222,48,107,106.1825,39,5664,1200,209634,5664,5664,18,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,5664,543.4216,0.422,13.7053,458.9387,17.7546,1.6772,0.70735,1.641,2.5464,1.4561,11.007,1.7932,210.0335,0.1116,74.3949,3.033,244.2038,50.079722222,-1.02916669348876,24.5,-32.2000007629395,1600.09298342046,12.9916665256023,303,87,2,113.522705477068,0.540833294391632,1.4099999666214,0.0700000002980232,0.452354162931442,13049.5830078125,21464,4101,5932.4599609375,2.10833334922791,3,1.29999995231628,0.505731046199799
"103",14,46,"Dinaric Mountains mixed forests",4,80418,46,43.2,19.5,14,40,46,3700,58286,46,46,0,0,0,0,8,8,38,0,0,0,8,0,0,0,0,0,0,46,869.4823,0.4558,20.86865,456.1987,24.16235,1.98155,0.4,2.20025,2.79765,1.40535,11.8723,1.4199,276.336875,0.2647,56.2234,3.4653,438.6078,46,8.74166666467985,21.7000007629395,-6.59999990463257,689.726012498475,9.41666668653488,2200,254,119,21.7408784653778,0.933333337306976,1.55999994277954,0.46000000834465,0.399944424629211,11755,20313,3397,6006.97509765625,1.57500004768372,1.89999997615814,1.29999995231628,0.183143839240074
"104",29.2071133,-29.3686135,"Drakensberg montane grasslands, woodlands and forests",10,31004,-22.4324,-32.5,32.1319,27.17,57,102,3700,201962,102,102,21,0,27,1,98,1,1,0,0,25,0,67,0,0,0,0,0,102,774.9077,0.5446,12.88,449.7949,19.92575082,1.5013,3.9082,11.9914,3.8246,1.770833333,15.2975,3.3752,136.2452,0.2015,40.1543,3.91525,403.4731,-29.3686135,16.658333381017,27.2000007629395,6.40000009536743,308.636717128337,12.9000000953674,717,98,16,52.0592766813583,1.20500004291534,1.74000000953674,0.689999997615814,0.36273267865181,17451.666015625,23497,11782,3869.58337402344,2.32083332538605,3,1.64999997615814,0.31609320640564
"105",-64.728031944,-31.398566666,"Dry Chaco",7,60210,-27.27,-31.901311111,-64.28,-66.482011111,298,564,990,786790,564,564,201,26,393,86,156,107,346,206,0,129,94,0,0,0,0,0,0,564,562.0686,0.4592,13.070118215,444.79635,20.205025,1.576863572,0.4279166665,0.8944,2.547,1.7143,12.56795,2.1612,336.374075,0.16585,55.47165,2.87705,337.0851,-31.398566666,15.2999998927116,27.8999996185303,1.20000004768372,456.849000340432,12.3999998966853,674,106,11,64.4056371914281,1.14166665077209,1.70000004768372,0.670000016689301,0.37405064702034,17081,23527,9170,5097.23583984375,4.32499980926514,5.30000019073486,3.59999990463257,0.56470251083374
"106",36.13138,-18.601315,"East African mangroves",14,31402,-18.55399,-18.64864,36.20877,36.10152,42,57,200,16013,57,57,50,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,57,2772.6703,0.47215,18.0426,454.764475,23.0135,1.48835,2.55,6.892225,3.641925,1.363625,14.10405,2.5375,279.23035,0.4209,18.6992,4.30195,381.45005,-18.601315,25.2416665951411,34.5999984741211,14.6000003814697,231.603425921343,12.8166659673055,1096,202,15.5,75.6835314908906,2.36500000953674,2.76999998092651,1.94000005722046,0.296539068222046,17305.583984375,20811.5,12097,3038.24829101562,2.09166669845581,2.95000004768372,1.5,0.416482731699944
"110",41.732777777,51.194722222,"East European forest steppe",4,80419,57,49.93,57,36.28,41,4030,1900,730128,4030,4030,0,0,0,0,4,3,1,0,0,0,4,0,0,0,0,0,0,4030,811.29855,0.43635,16.3188,453.19505,18.9631,2.0225,0.4883,1.3831,2.55345,1.3373,10.16035,1.28935,499.4198,0.1228,94.1792,2.6934,256.2368,51.194722222,6.34166658918063,25.1000003814697,-14.3999996185303,1094.97577750516,9.40000007549922,491,58,26,24.5507264790836,0.775833308696747,1.52999997138977,0.270000010728836,0.423289865255356,10981.5830078125,20732,2186,6675.552734375,3.50833320617676,4.19999980926514,2.70000004768372,0.497423887252808
"114",144.90667,-30.27139,"Eastern Australia mulga shrublands",8,10802,-30.27139,-31.56667,144.90667,143.06194,61,72,800,253515,72,72,68,0,66,0,0,0,70,0,0,0,0,0,0,0,0,0,0,72,31.6444,0.5014,9.6729002465,435.1186,20.0122,1.6327,0.2,1.25655,2.4212,2.2793,14.3675,2.6704,275.12085,0.0197,77.032,2.4864,361.0433,-30.27139,20.262499888738,34.7999992370605,4.19999980926514,634.379182817992,13.1749997138977,321,41,18,25.4871160005504,1.04999995231628,1.45000004768372,0.790000021457672,0.196001708507538,19443.916015625,28176,10516,6055.94091796875,2.63333320617676,3.20000004768372,2,0.426874965429306
"115",151.291111111,-33.0976725,"Eastern Australian temperate forests",4,10402,-25.93,-35.116666666,153.55,150.26694,430,941,3700,221786,941,941,520,0,659,4,138,68,395,46,0,84,48,2,0,0,0,0,0,941,761.643,0.598675,9.993646774,468.44385,16.0066,1.01205,2.0657,7.234675,3.80865,1.5233,16.799825,1.9477,136.107625,0.2669,35.36715,4.008425,520.190925,-33.0976725,17.4124999841054,26.8999996185303,6.84999990463257,380.851073965623,9.11666651566823,1258,151,53,30.1913773715397,1.43083333969116,2.00999999046326,0.944999992847443,0.364554524421692,16921.3330078125,24501.5,8828.5,5435.11877441406,3.61666679382324,4.25000011920929,3.09999990463257,0.3561951816082
"120",112.03412499975,43.688383333,"Eastern Gobi desert steppe",13,81314,45,41.2,113.35765,103.628333,40,62,400,282368,62,62,18,0,36,37,38,38,22,5,0,37,0,37,0,0,0,0,0,62,84.824025,0.40465,14.7102,426.23986035,26.88365,1.8724770015,0.2224,1.80835,3.0917,1.7756,13.761025,2.1091,184.1527,0.05595,58.3925,3.5026,276.0436,43.688383333,3.76041666790843,29.2000007629395,-26.0499992370605,1504.93911403834,13.3875000973543,172,47,1,109.810842102353,0.498750001192093,1.28999996185303,0.109999999403954,0.408686071634293,16081.875,24255,7055,5990.568359375,3.90416663885117,5.17499983310699,3.20000004768372,0.583526611328125
"121",-75.99384,44.033333333,"Eastern Great Lakes lowland forests",4,50407,45.54928,43.030909,-73.14807,-80.93,106,6492,1381,116673,6492,6492,4835,0,4290,217,665,58,2038,35,0,29,28,0,0,3492,0,0,0,6492,805.26665,0.4312,16.96965,452.91465,19.8932,1.71485,0.62,0.895,2.58965,1.2487,11.66405,1.2393,704.35005,0.16275,57.60875,2.8457,387.55935,44.033333333,6.25833328316609,24.6499996185303,-13.6999998092651,1032.92574386339,9.7333333628873,925,93,57.5,15.2062744999481,0.880833327770233,1.67999994754791,0.310000002384186,0.516557395458221,12576.2084960938,20843.5,3978.5,6060.669921875,3.82500004768372,4.40000009536743,3,0.501871526241302
"122",-1.32,6.7,"Eastern Guinean forests",1,30111,7.136825,6.63,-1.3,-2.446904,33,53,3200,188895,53,53,53,0,17,17,17,16,0,0,0,17,16,0,0,0,0,0,0,53,4522.51,0.5569,15.0137,458.1284,21.2751,1.3172,5.8861,38.4239,5.3357,1.5508,16.5479,2.81,35.5933,1.0778,20.25125,5.1248,430.2525,6.7,26.0499999523163,31.7000007629395,19,108.06406837055,9.40000009536743,1320,195,11,54.1306271018413,2.62416672706604,2.8199999332428,2.23000001907349,0.159791514277458,15619.9169921875,18389,11526,2185.26733398438,1.25833332538605,1.5,0.899999976158142,0.184654325246811
"124",92.616264,27.034722,"Eastern Himalayan broadleaf forests",4,40401,27.75,26.999444,93.366666666,85.3333333,330,564,4500,82916,564,564,536,0,0,0,8,0,533,1,0,0,0,8,0,0,0,0,0,564,9050,0.50845,16.2741,457.27735,20.6787,1.39915,13,17.17875,4.27575,1.36015,14.658225,2.0124,191.21695,1.233325,18.8974,4.45605,498.15025,27.034722,22.704166730245,32.4000015258789,11.3999996185303,424.163885402057,9.05833371480306,2416,488,7,92.6488022574219,2.19833326339722,3.10999989509583,1.25999999046326,0.688002347946167,16915.083984375,20247.5,14086,1828.232421875,0.958333373069763,1.5,0.600000023841858,0.269057959318161
"128",-76.31,44.5685,"Eastern forest-boreal transition",4,50406,46.7,43.6833,-73.9,-83.7,43,187,1228,348614,187,187,0,0,68,0,148,39,0,0,0,32,35,22,0,0,0,0,0,187,2731.377,0.5287,15.66025641,475.89875,22.11155,1.9174,14.1591,15.16915,5.70715,1.4279,10.384466665,1.05855,122.37035,0.46955,62.40905,7.60295,320.2872,44.5685,6.47916664276272,23.8999996185303,-14.4499998092651,1073.51658938935,8.52500006370246,949,101.5,62,14.5517733030596,0.870833337306976,1.73000001907349,0.270000010728836,0.522485375404358,12637.9580078125,20962,4040.5,6059.84106445312,3.91666662693024,4.54999995231628,3.09999990463257,0.516859799623489
"130",145.5,-17.1055555,"Einasleigh upland savanna",7,10705,-16.7,-19.183333333,145.75,143.795,550,1317,1600,128067,1317,1317,1027,4,4,0,0,0,1089,193,0,0,0,0,0,0,4,0,0,1317,3019,0.55455,11.74525,468.71755,17.11505,1.11345,19.1664,22.4976,4.80925,1.56105,16.42925,2.00435,145.6951,0.9563,22.31405,5.1233,515.669975,-17.1055555,21.1916666825612,29.6749997138977,11.1999998092651,259.067013026303,10.4333332379659,1444,361,12,99.8416556617437,1.90083336830139,2.41249996423721,1.49000000953674,0.338881939649582,19554.083984375,23867,14746.5,2995.59838867188,3.94166660308838,4.90000009536743,2.59999990463257,0.615708708763123
"132",0.13,52.17,"English Lowlands beech forests",4,80421,52.416666666,50.9,0.75,-2.833333,48,444,1300,45770,444,444,20,9,93,0,203,168,16,20,0,56,10,0,0,0,0,0,0,444,1238.8601,0.55305,15.2639,468.648675,20.483,1.611875,3.7856,18.6948,5.56915,1.51755,12.964044445,1.11885,210.304625,0.3222,44.41365,7.7268,512.859625,52.17,10.1166665529211,20.2000007629395,-0.600000023841858,476.947949852483,7.95833317438761,580.25,56,35,13.7107178840614,0.991666674613953,1.41999995708466,0.699999988079071,0.256249666213989,9670.1669921875,17971,2026,5762.91064453125,4.25,4.90000009536743,3.70000004768372,0.405174881219864
"133",119.179983333,-34.2561,"Esperance mallee",12,11202,-32.734183333,-34.638133333,121.88,117.79245,117,158,2900,115461,158,158,73,0,45,0,34,34,103,0,0,35,33,0,0,0,0,0,0,158,254.6792,0.7336,3.2029,470.1582,7.70615,0.3,1.6427,10.2586,3.337,2.2462,23.6734,1.2407,9.5513,0.2237,213.34635,4.8296,490.8392,-34.2561,15.7499999304612,25.1000003814697,4.19999980926514,336.838076452026,10.5208334525426,469,63,16,41.4613052032965,1.17999994754791,1.41999995708466,0.990000009536743,0.162523508071899,18241.25,28605.5,8586,7005.93798828125,4.03333330154419,4.90000009536743,3.20000004768372,0.554464221000671
"134",-64.2,-31.4,"Espinal",8,60801,-31.38,-39.02,-62.27,-64.583130555,85,113,700,298735,113,113,18,5,78,3,67,11,24,9,0,60,10,0,0,0,0,0,0,113,674.3262,0.4685,12.66592606,447.1073,21.1,1.6241,0.8185,2.4331,3.0971,2.0334,12.5915,2.1134,306.7004,0.2294,52.4424,3.581,296.5851,-31.4,17.3249999880791,29.3999996185303,4.5,469.36852556997,11.8166668812434,855,157,10,73.1439110832017,1.37000000476837,1.98000001907349,0.850000023841858,0.412492424249649,16286.0830078125,22899,8533,4659.23828125,3.86666655540466,4.80000019073486,3.20000004768372,0.552770793437958
"135",37,7,"Ethiopian montane forests",1,30112,8.08,6,39,35,41,68,4000,247734,68,68,64,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,0,68,2450,0.5392,15.6297,455.6882,21.30335,1.5353,4.3492,35.42745,4.7292,1.4718,14.35815,2.0032,98.1704,0.6196,23.1733,4.7818,347.3962,7,21.4562500516574,28.8000001907349,13.3000001907349,76.1166273236983,12.8708333571752,1181.5,183.5,25,58.3272422834107,1.79458338022232,1.98499995470047,1.52000004053116,0.162551626563072,18857,21271,15101.5,1732.53991699219,1.75,2.40000009536743,1.5,0.232737347483635
"136",35.88,7.13,"Ethiopian montane grasslands and woodlands",10,31007,11.7,7.13,41.65,35.88,101,117,2000,244349,117,117,84,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,117,2153.09635,0.5418,15.8817,454.6733,21.648,1.516,4.2378,25.1142,4.502,1.5319,14.0571,2.076,112.2293,0.5983,26.2322,5.1061,371.756,7.13,21.4541665712992,28.8999996185303,13,79.0126146503224,13.608333269755,1857,229,45,43.6323422169468,1.78250002861023,1.96000003814697,1.53999996185303,0.132798418402672,18516.416015625,20847,14594,1898.63488769531,1.65833330154419,2,1.5,0.144096806645393
"141",179.002778,-16.505556,"Fiji tropical dry forests",2,70201,-16.238889,-16.705556,179.823333,178.588889,44,60,500,6890,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3019,0.5724,11.3305,461.78345,17.034525,1.0469,11.75665,27.65095,5.1725,1.6962,17.1988,2.474525,60.50345,1.08505,14.35725,6.072775,587.37265,-16.505556,25.8875000476837,30,21.5,111.697744223657,5.45625007152557,2407.75,363,64,48.2511307282267,2.6966667175293,3,2.38000011444092,0.223544657230377,16595.6870117188,20551,11902,3090.92163085938,3.47916656732559,4.59999990463257,2.72500002384186,0.48705467581749
"142",179.327361,-16.630556,"Fiji tropical moist forests",1,70105,-16.398333,-16.794444,179.878333,178.776389,85,204,1450,11572,204,204,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,3019,0.5113,12.2068,469.8683,17.8859,1.0132,13.9629,42.4168,5.811,1.5677,16.86485,2.5245,87.4221,1.41745,14.9166,5.5313,576.9509,-16.630556,25.329166730245,29.2999992370605,20.5,116.010062889382,5.75416652361552,3079,389,149,29.9379403369419,2.62333345413208,2.9300000667572,2.3199999332428,0.222648248076439,16184.8330078125,20301,11477,3169.56787109375,3.31666660308838,3.89999997615814,2.79999995231628,0.305050075054169
"143",167.57995,-45.60535,"Fiordland temperate forests",4,10403,-45.2591,-45.7792,167.6547,167.357333,83,112,750,11054,112,112,85,0,75,0,15,0,95,0,0,0,0,0,0,0,0,0,0,112,433.33464,0.466,17.57710468,452.29225,17.5169,1.50705,1.6,1.3763,2.8022,1.1371,11.33855,1.9676,909.1484,0.1118,55.0052,3.2362,435.6576,-45.60535,8.49166666374852,16.2500004768372,-1.29999995231628,343.934452525255,7.1333334663262,1926,240.5,99,27.1764092000754,0.759999990463257,0.970000028610229,0.569999992847443,0.133374989032745,12564.8334960938,21783,4057.5,6369.32763671875,4.38333344459534,5.5,3.5,0.6029042750597
"144",-96.56,39.09,"Flint Hills tall grasslands",8,50807,39.2,39.09,-96.56,-96.58,397,823,1174,29632,823,823,0,0,379,396,393,0,0,0,0,0,0,181,0,0,0,0,0,823,533.9559,0.44525,17.5972,432.67165,21.5362,1.88535,0.5392,1.39535,2.48825,1.2584,11.18955,2.0733,452.2444,0.143,47.3203,3.055,364.6673,39.09,12.0583333292355,31.5,-9.30000019073486,1031.06483385728,11.8499999605119,893,135,21,51.1438271125822,1.08249998092651,2.13000011444092,0.340000003576279,0.633023500442505,15175.5,23919,6667,6005.99169921875,4.47499990463257,5.40000009536743,3.79999995231628,0.439933687448502
"145",-81.713611,29.184444,"Florida sand pine scrub",5,50513,29.184444,27.1888,-81.3378,-81.713611,21,23,951,3879,23,23,14,0,8,0,0,0,15,0,0,0,0,0,0,0,0,0,0,23,1121.3355,0.5493,7.6341,476.5157,12.995,0.8578,19,349.7348,13.2198,1.6564,15.8961,1.369,252.7795,0.5256,27.5335,10.7095,574.6812,29.184444,20.9374999801318,33.5999984741211,7.40000009536743,521.937487934919,12.3583333094915,1300,179,59,43.4415478749263,1.88999998569489,2.75999999046326,1.12999999523163,0.603476047515869,17007.833984375,23294,10090,4506.505859375,2.71666669845581,3.29999995231628,2.20000004768372,0.32871800661087
"147",69.87413,41.23494,"Gissaro-Alai open woodlands",8,80808,41.23494,39.02522,69.87413,68.87245,64,67,3500,168170,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,555.87675,0.50505,16.85645,453.1452,21.4557,1.9206,0.7672,8.15955,4.3619,1.39855,11.5408,1.4423,153.44355,0.1263,76.25535,5.3367,359.6908,41.23494,6.66250006109476,23.1000003814697,-9.69999980926514,809.093560330564,11.0750000526508,780,122,13,52.2991708576088,0.499166667461395,0.860000014305115,0.209999993443489,0.225146561861038,15370.1669921875,25742,5369,7229.3447265625,2.06666660308838,2.29999995231628,1.89999997615814,0.117851130664349
"148",99.017778,45.918056,"Gobi Lakes Valley desert steppe",13,81315,46.347222,44.548055555,99.3725,98.773611,26,1087,400,139714,1087,1087,22,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1087,75,0.419,14.3796,445.98965,19.84,1.73185,0.25,1.73475,2.7385,1.49455,11.59235,1.8574,139.896,0.0443,78.3208,2.9014,261.725,45.918056,-1.12083329260349,20.7999992370605,-23.7999992370605,1201.94058449264,14.2916665077209,122,39,1,112.703902440184,0.430000007152557,1.02999997138977,0.100000001490116,0.312765449285507,15084.25,22688,6068,5693.18310546875,2.47499990463257,3.79999995231628,1.5,0.680838942527771
"151",-112.933333333,39.466666666,"Great Basin shrub steppe",13,51305,41,37.266666666,-111.783333333,-119.833333333,39,99,2519,336212,99,99,0,12,19,0,41,8,13,0,0,6,7,34,0,0,3,0,0,99,366.4853,0.5672,9.37,470.89065,19.4648,1.5191,5.388,16.0511,4.639,2.10445,12.41945,2.11705,429.50735,0.1437,129.97135,6.4875,345.9477,39.466666666,10.1812499289711,29.5,-9.30000019073486,894.986770909413,15.1583335002263,403,55.5,12,32.0153286195262,0.557499974966049,0.899999976158142,0.349999994039536,0.183141946792603,17370.208984375,27693,6802,7254.86376953125,3.26666665077209,3.89999985694885,2.5,0.398337915539742
"153",-52.6833,4.56722,"Guianan moist forests",1,60125,5.54415,4.08,-52.2036,-58.8,665,18018,8000,476136,18018,18018,5766,2684,7000,2737,2888,894,3416,268,0,2817,0,2469,0,0,0,0,0,18018,4483.72505,0.6403,11.87905,482.83575,20.5336,0.7985,17.9084,230.8509,8.6918,1.82555,22.79625,2.36665,81.399,1.2338,10.9169,8.94655,549.7856,4.56722,25.6875,31.5,20.7999992370605,46.975494980079,8.40833298365275,3106,490,72,49.5030422630708,2.77999997138977,2.90000009536743,2.71000003814697,0.0456131063401699,18158.916015625,22734,14672,2544.81201171875,1.5,1.89999997615814,1.20000004768372,0.254950970411301
